0	164.241	3.95138	183.998
1	160.894	3.92547	180.521
2	166.544	4.33092	188.199
3	-872.047	416.557	1210.74
4	-492.697	235.736	685.981
5	176.732	3.82483	195.856
6	168.358	3.50015	185.859
7	171.879	3.395	188.854
8	209.375	3.07945	224.772
9	195.966	2.69563	209.445
10	198.574	2.86014	212.875
11	194.859	3.00394	209.879
12	215.218	3.07509	230.594
13	200.379	2.76397	214.199
14	190.678	2.97163	205.536
15	183.56	2.752	197.32
16	194.354	2.78586	208.283
17	183.245	2.85459	197.518
18	185.02	2.77906	198.916
19	171.514	3.13377	187.183
20	179.374	2.99814	194.364
21	166.598	3.06804	181.938
22	170.293	3.12765	185.931
23	153.22	3.01672	168.303
