0	0	1196.860	1122.420	1038.390	944.787	841.604	728.841	606.499
0	1	1652.350	1538.090	1417.710	1291.230	1158.640	1019.940	875.125
0	2	1190.410	1120.700	1041.130	951.696	852.409	743.266	624.266
0	3	1775.000	1651.080	1521.350	1385.810	1244.460	1097.300	944.323
0	4	1196.530	1127.540	1047.970	957.829	857.105	745.802	623.921
0	5	1283.600	1210.260	1127.070	1034.030	931.134	818.381	695.774
0	6	977.361	915.498	848.341	775.892	698.149	615.114	526.785
1	0	1183.270	1106.830	1023.540	933.394	836.395	732.543	621.837
1	1	852.225	789.289	723.597	655.151	583.949	509.992	433.279
1	2	886.106	827.327	763.264	693.917	619.288	539.375	454.179
1	3	1641.930	1531.860	1413.720	1287.510	1153.230	1010.880	860.459
1	4	657.309	615.957	569.243	517.166	459.727	396.926	328.762
1	5	446.114	413.569	380.053	345.569	310.115	273.692	236.300
1	6	1169.150	1094.310	1011.450	920.568	821.665	714.740	599.794
