0	0	3519.35	3519.35	-2.96045	0.001182		-1.50334e-07
0	1	3383.99	3383.99	-3.01871	0.00136745		-2.26618e-07
0	2	3448.84	3448.84	-3.48484	0.00196634		-4.49368e-07
0	3	3253.03	3253.03	-3.01154	0.00146302		-2.75815e-07
0	4	3157.07	3157.07	-2.35129	0.000681952		9.83764e-09
0	5	2826.95	2826.95	-1.39745	-8.14211e-05		1.95528e-07
0	6	2368.5	2368.5	-0.587882	-0.000543852		2.9649e-07
1	0	2601.4	2601.4	-1.82596	0.000363725		7.61642e-08
1	1	2668.35	2668.35	-2.54945	0.00122247		-2.14889e-07
1	2	2685.74	2685.74	-2.93248	0.00161736		-3.32647e-07
1	3	2602.09	2602.09	-2.85611	0.00166174		-3.79894e-07
1	4	2667.59	2667.59	-3.17085	0.00200286		-4.94859e-07
1	5	2708.24	2708.24	-3.0654	0.00185864		-4.44092e-07
1	6	2659.14	2659.14	-1.96765	0.000544274		8.5875e-09
