0    0    84.70993333		0.558184
0    1    98.03873333   	0.568957
0    2    106.0443333   	0.569487
0    3    112.9366667   	0.561112
0    4    78.95676667   	0.530182
0    5    69.2324       	0.552284
0    6    87.0137       	0.567441
1    0    81.8591       	0.58525
1    1    98.3296       	0.611654
1    2    90.47463333   	0.591748
1    3    102.831       	0.584564
1    4    96.8524        	0.616205
1    5    103.0796667   	0.597747
1    6    106.7633333   	0.602516
2    0    92.72443333   	0.64657
2    1    98.38753333   	0.585973
2    2    94.83503333   	0.514117
2    3    91.8362       	0.520942
2    4    112.0906667   	0.53956
2    5    123.6643333   	0.607234
2    6    80.27703333   	0.531731
3    0    82.9082       	0.632473
3    1    111.718       	0.620987
3    2    101.444       	0.0366192
3    3    108.853       	0.548438
3    4    90.46456667   	0.551732
3    5    87.42913333   	0.692097
3    6    79.0165       	0.539358
