0	201.521	9.98224	251.432
1	195.368	10.6411	248.573
2	184.268	9.68425	232.69
3	171.851	9.46548	219.179
4	172.973	9.88737	222.41
5	160.859	8.50133	203.366
6	149.336	7.56828	187.178
7	147.28	9.46503	194.605
8	193.892	8.00008	233.893
9	198.339	7.20293	234.354
10	179.813	7.83358	218.981
11	179.681	7.92862	219.324
12	204.004	5.81387	233.074
13	190.405	5.95024	220.157
14	196.536	6.76833	230.378
15	181.209	5.84074	210.413
16	175.793	6.67817	209.184
17	174.114	8.50849	216.656
18	171.304	8.53025	213.956
19	154.974	7.30369	191.492
20	187.242	7.37082	224.096
21	201.761	11.2171	257.846
22	177.365	7.443	214.58
23	175.44	7.85765	214.729
