0	164.768	9.48075	212.172
1	161.272	9.95689	211.057
2	164.542	9.33223	211.203
3	159.249	9.60905	207.294
4	186.153	9.45254	233.416
5	177.003	9.02614	222.134
6	168.165	8.16014	208.965
7	172.255	9.40702	219.29
8	209.421	6.20655	240.454
9	195.7	4.07336	216.066
10	198.153	4.37686	220.037
11	195.608	4.65625	218.889
12	214.945	4.66922	238.291
13	200.019	4.20559	221.047
14	191.457	4.60234	214.469
15	183.223	4.46273	205.536
16	194.226	4.30377	215.745
17	183.092	4.8313	207.248
18	185.792	5.26653	212.125
19	171.667	5.64073	199.871
20	179.252	5.67052	207.605
21	166.223	5.37982	193.122
22	169.932	5.50817	197.473
23	153.446	5.13275	179.109
