0	1	0.690417
1	2	0.690417
2	3	0.690417
3	4	0.690417
4	5	0.716326
5	6	0.716018
6	7	0.70692
7	8	0.810995
8	9	0.798012
9	10	0.798012
10	11	0.787149
11	12	0.833844
12	13	0.835599
13	14	0.900624
14	15	0.962823
15	16	0.889526
16	17	0.970886
17	18	0.839867
18	19	0.930806
19	20	0.889447
20	21	0.995353
21	22	0.963462
22	23	1.0469
23	24	1
24	25	1.46886
25	26	0.97924
26	27	1.03953
27	28	1.03953
28	29	1.08397
29	30	1.02539
30	31	1.14082
31	32	1.4547
32	33	1.4055
33	34	1.41538
34	35	1.44795
35	36	1.51653
36	37	1.82721
37	38	1.45093
38	39	1.54783
