15	11    0.46269	-149.64122
15	12    0.46486	-150.26351
15	13    0.46774	-152.58598
15	14    0.47076	-156.00637
15	15    0.47190	-158.15979
16	11    0.45870	-145.10854
16	12    0.46442	-150.44044
16	13    0.46763	-153.06311
16	14    0.47085	-156.60549
16	15    0.47224	-159.19750
17	12    0.46362	-149.95886
17	13    0.46805	-154.06406
17	14    0.47010	-156.18450
17	15    0.47182	-159.20689
18	12    0.46334	-149.64624
18	13    0.46771	-153.84863
18	14    0.47014	-156.53863
18	15    0.47122	-158.63677
19	12    0.46513	-152.17524
19	13    0.46706	-153.19640
19	14    0.46906	-155.24224
19	15    0.47131	-158.78087
20	13    0.46862	-154.95012
20	14    0.46976	-155.97074
20	15    0.47035	-157.36431
21	13    0.47085	-157.28518
21	14    0.47057	-156.23800
21	15    0.47175	-158.51688
22	15    0.47271	-159.18306
14	12    0.46429	-148.49213
14	13    0.46698	-150.76808
14	14    0.47044	-154.84084
14	15    0.47112	-156.46930
13	12    0.46483	-148.00203
13	13    0.46715	-149.96897
13	14    0.46975	-152.87726
13	15    0.47140	-155.61033
12	13    0.46716	-148.44325
12	14    0.46858	-150.24386
12	15    0.46946	-152.11107
11	13    0.46600	-145.54500
11	14    0.46903	-149.49763
11	15    0.47012	-151.45018
10	14    0.46716	-145.75915
10	15    0.46769	-147.00911
