0	0	3162.05	541.18	-4.43652	0.00280439		-5.20088e-07
0	1	3215.21	761.13	-3.35974	0.00168538		-3.04768e-07
0	2	2912.57	537.632	-3.40269	0.00128449		2.93103e-07
0	3	3028.72	787.712	-3.03021	0.00169417		-3.94883e-07
0	4	2837.8	547.118	-3.2842	0.00165616		-2.2412e-07
0	5	2771.17	597.366	-2.68427	0.000900139		5.21342e-08
0	6	2541.47	442.081	-2.80321	0.000836958		3.95916e-07

0	6	2559.06	438.614	-2.97176	0.00118232		2.00801e-07
0	5	2712.84	599.451	-2.47768	0.000686505		1.194e-07
0	4	2874.48	544.389	-3.43599	0.00182362		-2.75281e-07
0	3	3047.57	787.008	-3.11839	0.00180984		-4.39726e-07
0	2	2968.57	1411.64	-3.69976	0.00171506		1.19627e-07
0	1	3132.68	753.285	-3.33494	0.00184133		-3.86871e-07
0	0	3112.36	545.077	-4.19217	0.00247455		-3.86028e-07

1	0	2531.07	325.895	-4.04396	0.00290479		-6.26201e-07
1	1	2368.2	230.483	-4.67565	0.00421828		-1.1948e-06
1	2	2416.03	239.993	-4.823	0.00453087		-1.4113e-06
1	3	2415.72	463.305	-2.57727	0.00144761		-3.25719e-07
1	4	2338.84	183.255	-5.66709	0.00635932		-2.25453e-06
1	5	2404.23	829.238	-8.98741	0.0148299		-6.3995e-06
1	6	2528.92	341.338	-3.82246	0.00253276		-4.84357e-07
1	5	2404.23	829.238	-8.98741	0.0148299		-6.3995e-06
0	2	2968.57	1411.64	-3.69976	0.00171506		1.19627e-07
0	2	2968.57	534.101	-3.69976	0.00171506		1.19627e-07
